ticker,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA,AVGO,AMD,ORCL,CRM,ADBE,QCOM,TXN,IBM,CSCO,INTU,NOW,INTC,MU,AMAT,PANW,PLTR,SNOW,LLY,UNH,JNJ,ABBV,MRK,AMGN,GILD,REGN,VRTX,MDT,BMY,PFE,SYK,ISRG,TMO,ABT,ELV,CI,ZTS,JPM,BAC,GS,MS,WFC,V,MA,BLK,AXP,C,BRK-B,SPGI,MCO,WMT,HD,MCD,COST,SBUX,NKE,LOW,TGT,KO,PEP,PG,PM,MDLZ,XOM,CVX,COP,SLB,EOG,PSX,GE,CAT,BA,RTX,HON,UNP,DE,ETN,LMT,NOC,DIS,T,VZ,CMCSA,NFLX,SPY,QQQ,IWM,VTI,VOO,VEA,EEM,TLT,BND,AGG,HYG,XLF,XLE,XLK,XLV,XLI,VNQ,SCHD,VIG,JEPI,ARKK,GLD,IAU,SLV,SPXL,TQQQ,SOXL
AAPL,0.0627,0.015687,0.028452,0.02545,0.025891,0.022641,0.039111,0.035898,0.031852,0.011578,0.017777,0.026333,0.028004,0.021526,0.015574,0.040662,0.014242,0.015762,0.028326,0.034059,0.042323,0.0118,0.035245,0.020642,0.016574,-0.007529,0.005809,0.002825,0.021906,0.013968,0.028693,0.016435,0.013394,0.011173,0.007525,0.010408,0.010012,0.03031,0.015682,0.016318,-0.004233,0.001751,0.041838,0.022276,0.030216,0.039436,0.037139,0.023105,0.016273,0.020131,0.03195,0.029351,0.041314,0.013223,0.009946,0.015961,0.009121,0.024611,0.011544,0.005138,0.02364,0.022169,0.021947,0.020356,0.007689,0.006072,0.009326,0.013633,0.003851,-0.006886,-0.007504,-0.006781,0.026111,-0.013938,-0.000141,0.036749,0.030358,0.028338,0.00543,0.020135,0.014932,0.014163,0.035528,-0.007517,-0.00586,0.032574,0.00105,-0.001484,0.014735,0.004114,0.021333,0.027258,0.025115,0.022518,0.027068,0.025011,0.026465,0.002312,0.002161,0.00298,0.009684,0.026093,-0.003151,0.03432,0.029417,0.031798,0.013619,0.010683,0.022352,0.010209,0.047186,0.001821,0.002007,0.016117,0.073,0.077376,0.102521
MSFT,0.015687,0.086436,0.049321,0.010335,0.03333,0.037345,0.046064,0.044602,0.054172,0.084136,0.084148,0.064949,0.015828,-0.018604,0.029758,0.019186,0.09132,0.108831,0.029884,0.040858,0.017421,0.078098,0.101784,0.102368,-0.004948,0.006969,-0.018046,-0.007459,-0.021229,-0.006609,-0.004444,-9.6e-05,0.009872,-0.007546,-0.013636,-0.001475,0.002037,0.034422,0.022721,-0.006167,-0.009252,-0.002754,0.018188,0.012543,0.016673,0.021311,0.029512,0.008175,0.013286,0.019842,0.02203,0.02453,0.030288,-0.001894,0.032718,0.028789,-0.010575,0.002596,-0.006405,-0.003908,0.015463,0.01504,-0.003295,0.007383,-0.012454,-0.015339,-0.013093,-0.005278,-0.017179,-0.018942,-0.010632,-0.005398,0.0014,-0.014036,-0.011391,-0.000318,-0.012814,0.025403,-0.004393,-0.00356,-0.015243,-0.023839,0.000469,-0.008704,-0.012879,0.023707,-0.022528,-0.016817,-0.015432,0.016825,0.019831,0.030679,0.016863,0.020555,0.02529,0.015064,0.021673,0.001779,0.001937,0.00227,0.007977,0.019728,-0.011425,0.048129,-0.00185,0.000499,0.002756,-0.003552,0.012252,0.004802,0.062746,0.003121,0.00335,0.021499,0.068812,0.087003,0.070776
NVDA,0.028452,0.049321,0.146919,0.031415,0.045725,0.068366,0.074921,0.10032,0.146486,0.087766,0.024692,0.004579,0.035972,0.008962,0.014901,0.042676,0.016789,0.021582,0.112818,0.145026,0.132857,0.041075,0.116997,0.053614,-0.00332,0.003066,-0.013886,-0.004862,-0.007239,0.005474,0.002605,0.015466,0.01504,0.005278,-0.008425,-0.000464,0.015469,0.040318,0.021426,0.00568,-0.00369,0.004755,0.031793,0.02972,0.030161,0.062948,0.04871,0.021647,0.004941,0.011701,0.047461,0.028865,0.06371,-0.013221,0.006404,0.014613,-0.012453,0.00694,-0.018493,-0.01514,0.016184,0.011084,0.009455,0.008892,-0.015398,-0.01812,-0.008855,-0.009887,-0.023492,-0.023544,-0.019259,-0.014974,0.017704,-0.022257,-0.011974,0.062551,0.044157,0.038427,0.015904,0.016997,0.00319,-0.004403,0.074243,-0.000769,-0.006332,0.036654,-0.025018,-0.025696,-0.021625,0.005099,0.036771,0.055595,0.039983,0.03813,0.046823,0.039066,0.055156,0.002552,0.003025,0.00402,0.015064,0.023174,-0.011884,0.084697,0.012122,0.042124,0.008633,-0.002012,0.024164,0.011066,0.095789,0.016798,0.018791,0.03818,0.126668,0.158366,0.285735
GOOGL,0.02545,0.010335,0.031415,0.094126,0.043301,0.022657,0.056654,0.063728,0.084022,0.030812,0.009238,0.02029,0.071696,0.025642,0.023748,0.03128,0.012648,0.020997,0.071648,0.092313,0.085582,0.030993,0.066347,0.022954,0.040241,0.00809,0.007411,0.018422,0.006707,0.017575,0.025503,0.027309,0.029199,0.022036,0.02548,0.010427,0.019567,0.033574,0.027342,0.009253,0.008329,-0.00659,0.043755,0.024116,0.025134,0.040872,0.03991,0.015413,0.007122,0.002973,0.042951,0.029553,0.036851,0.002674,0.019719,0.022727,0.008815,0.028688,0.012402,0.003611,0.01837,0.003793,0.028773,0.004485,-0.002127,0.000184,0.008111,0.002165,0.001405,-0.031473,-0.021331,-0.032558,0.018207,-0.029898,-0.01016,0.051349,0.058724,0.035212,0.019751,0.018982,0.009485,0.025171,0.05791,0.004611,0.001027,0.041251,-0.01146,-0.002558,-0.004298,0.013127,0.027526,0.038761,0.033269,0.029091,0.035009,0.041625,0.048622,0.005587,0.006825,0.008202,0.014815,0.021533,-0.016876,0.044752,0.050864,0.045031,0.015583,0.008893,0.025164,0.012196,0.072164,0.016114,0.018232,0.032512,0.094426,0.110203,0.177324
AMZN,0.025891,0.03333,0.045725,0.043301,0.09187,0.051677,0.050803,0.052466,0.095818,0.034441,0.030689,0.033876,0.055766,0.025032,0.020917,0.039682,0.025445,0.027869,0.080473,0.092321,0.083008,0.033633,0.069452,0.022579,0.006227,0.005866,-0.011954,0.001772,0.001427,0.004679,0.011864,0.008771,0.019825,0.005345,0.001031,0.003651,0.014655,0.03493,0.025992,-0.006692,0.003542,0.000329,0.041322,0.025771,0.028267,0.035738,0.035256,0.020643,0.020294,0.027202,0.042345,0.029694,0.040843,0.009589,0.02574,0.029855,-8.5e-05,0.030529,0.00291,0.001998,0.027207,0.018263,0.025705,0.014834,-0.003926,-0.008509,0.003834,-0.004842,0.000465,-0.02529,-0.01669,-0.016218,0.025581,-0.017612,-0.009203,0.03463,0.030245,0.030164,0.007082,0.019228,0.010156,0.004485,0.048007,-0.009589,-0.011233,0.039724,-0.012569,-0.010941,-0.005883,0.024493,0.028594,0.042635,0.030915,0.029832,0.036369,0.030735,0.038951,0.002611,0.003343,0.004013,0.012154,0.027435,-0.012635,0.05116,0.019519,0.034468,0.011639,0.005186,0.022219,0.011941,0.067743,0.005173,0.005827,0.028008,0.098644,0.121856,0.18075
META,0.022641,0.037345,0.068366,0.022657,0.051677,0.110025,0.049487,0.053537,0.077287,0.053171,0.025487,0.020647,0.002784,0.009281,0.02408,0.025229,0.016377,0.017001,0.075446,0.083182,0.085151,0.034724,0.067958,0.028668,-0.014428,0.010011,-0.010686,-0.000963,0.006915,0.002776,0.010203,0.009049,0.020226,0.007619,-0.011172,0.000893,0.015329,0.033546,0.019266,-0.001162,0.009102,0.015775,0.036338,0.028094,0.033459,0.042794,0.037945,0.026291,0.022203,0.042435,0.0418,0.033388,0.05422,0.008699,0.023467,0.024891,-0.003715,0.021453,0.002993,-0.004807,0.024095,0.020312,0.018359,0.008944,-0.004707,-0.014483,0.007227,-0.004452,-0.007859,-0.027531,-0.025125,-0.022154,0.008566,-0.036657,-0.022077,0.040939,0.019962,0.029307,0.008916,0.024608,0.007197,0.00017,0.033186,0.000432,-0.00306,0.03952,-0.011926,-0.016876,0.000852,0.009415,0.027755,0.039979,0.028949,0.028679,0.035294,0.032464,0.041605,0.005987,0.00548,0.006513,0.013513,0.030604,-0.022669,0.051686,0.012784,0.032775,0.010682,-0.000346,0.020616,0.011298,0.066529,0.014019,0.015834,0.03349,0.095399,0.1137,0.161274
TSLA,0.039111,0.046064,0.074921,0.056654,0.050803,0.049487,0.186279,0.077019,0.117385,0.088661,0.04603,0.033788,0.066082,0.014294,0.032918,0.03957,0.052593,0.060554,0.07311,0.106487,0.112268,0.043072,0.158017,0.082322,0.022127,0.010366,-0.005418,0.006776,0.00567,0.009701,0.014025,0.025035,0.029948,0.008443,0.019967,0.014755,0.004069,0.052253,0.037184,0.006322,0.003459,0.003631,0.055481,0.030174,0.037848,0.054432,0.05996,0.021514,0.010591,0.011471,0.052747,0.044522,0.065063,0.004306,0.012366,0.027523,0.004278,0.032847,0.004229,-0.00169,0.021884,0.027828,0.029826,0.022904,-0.012653,-0.006356,0.001353,-0.008344,-0.008521,-0.015533,-0.007441,-0.012157,0.039276,-0.018772,0.012702,0.059899,0.052559,0.047577,0.021774,0.029798,0.00614,0.007062,0.066488,0.010379,0.006834,0.06703,-0.01446,-0.005549,0.005635,0.0117,0.038203,0.055427,0.04812,0.04076,0.048534,0.045764,0.054896,0.003153,0.005158,0.006274,0.017538,0.032593,-0.000572,0.069374,0.038801,0.049169,0.015368,0.010853,0.030167,0.014409,0.132596,0.017783,0.019943,0.028995,0.131351,0.157688,0.227021
AVGO,0.035898,0.044602,0.10032,0.063728,0.052466,0.053537,0.077019,0.214369,0.1635,0.123013,0.021436,0.020845,0.060102,0.029204,0.026476,0.069782,0.022783,0.031242,0.124146,0.153304,0.171943,0.063023,0.134512,0.080892,0.017319,0.006283,-0.013296,0.005357,-0.004491,0.008971,0.020756,0.01677,0.006923,0.010539,-0.003278,0.000748,0.010624,0.055661,0.027456,-0.004952,-0.001208,-0.00628,0.014033,0.034306,0.033929,0.065008,0.061275,0.022666,0.013045,0.005704,0.050952,0.037163,0.059817,-0.007174,0.010821,0.016884,-0.005373,0.012925,-0.013717,-0.007658,0.032002,0.003544,0.016534,0.008812,-0.021844,-0.01995,-0.020601,-0.006579,-0.020446,-0.028661,-0.013871,-0.019222,0.031214,-0.021212,-0.011985,0.055344,0.079411,0.044534,0.012717,0.011064,-0.0008,0.006489,0.11901,0.001565,-0.016412,0.04108,-0.02877,-0.027491,-0.010522,0.016332,0.042496,0.065288,0.050226,0.045006,0.054229,0.048519,0.065501,0.006814,0.006385,0.007868,0.017827,0.026587,-0.009957,0.097176,0.027839,0.056038,0.012777,0.002569,0.03988,0.014655,0.111109,0.013267,0.014917,0.040404,0.146388,0.186148,0.365923
AMD,0.031852,0.054172,0.146486,0.084022,0.095818,0.077287,0.117385,0.1635,0.617953,0.135041,0.011406,0.023812,0.15815,0.061523,0.037112,0.140753,-0.024649,0.026668,0.339611,0.284929,0.301783,0.052297,0.221644,0.065202,0.001312,0.02828,-0.01529,0.016637,-0.019736,-0.000266,0.003929,-0.007971,0.036344,0.010058,0.009422,-0.002583,-0.015444,0.04494,0.037487,-0.036529,0.017123,0.003332,0.006749,0.035038,0.029583,0.097819,0.07306,0.028971,0.01658,-0.001764,0.072432,0.032399,0.065909,-0.031224,0.013017,0.03309,0.011948,0.009582,-0.026076,0.009778,0.034812,-0.001327,0.013007,0.023189,-0.017134,-0.01151,-0.006623,-0.017583,0.000248,-0.027778,-0.025117,-0.020514,0.066908,-0.007247,0.017995,0.068576,0.127237,0.071322,0.008492,0.021746,0.003294,0.004513,0.176133,0.012159,-0.017495,0.054795,-0.038188,-0.052665,-0.058013,0.026716,0.060592,0.101289,0.082984,0.064617,0.077304,0.074236,0.11737,0.003374,0.004731,0.00618,0.023699,0.025044,0.00213,0.152373,0.024146,0.085022,0.010228,0.006746,0.045804,0.019279,0.19107,0.041401,0.046433,0.085909,0.20909,0.288947,0.668301
ORCL,0.011578,0.084136,0.087766,0.030812,0.034441,0.053171,0.088661,0.123013,0.135041,0.328902,0.11053,0.080911,0.039454,-0.010012,0.055361,0.050981,0.102225,0.146062,0.053491,0.114951,0.083772,0.120293,0.210604,0.192786,0.004024,0.016804,-0.035463,-0.008288,-0.037926,-0.016846,-0.020978,-0.004641,0.003133,-0.010881,-0.023499,0.002208,-0.024218,0.048181,0.03444,-0.025508,-0.008632,-0.006892,0.012297,0.028634,0.025838,0.0464,0.05799,0.011952,-0.001058,0.006468,0.044134,0.038617,0.050017,-0.022898,0.045379,0.042316,-0.022872,-0.002204,-0.035101,-0.024873,0.016365,0.023404,0.001979,-0.001984,-0.038161,-0.026274,-0.041345,-0.016441,-0.034424,-0.008475,0.009477,0.011545,0.012276,0.009596,0.008721,0.012283,0.030869,0.038061,0.005299,-0.000668,-0.014426,-0.021593,0.048251,0.021023,-0.005736,0.041984,-0.035993,-0.024072,-0.004415,0.010638,0.033596,0.052067,0.042861,0.03663,0.042808,0.033832,0.047255,0.004663,0.004362,0.005478,0.015064,0.02578,0.004236,0.091252,-0.004169,0.027046,0.004378,-0.0019,0.026762,0.008931,0.139784,0.009855,0.01107,0.037832,0.116592,0.148755,0.219737
