ticker,expected_return_annual
AAPL,0.1678
MSFT,0.1213
NVDA,0.5392
GOOGL,0.2551
AMZN,0.1131
META,0.1639
TSLA,0.131
AVGO,0.4562
AMD,0.2966
ORCL,0.1888
CRM,-0.0238
ADBE,-0.1098
QCOM,0.0817
TXN,0.1279
IBM,0.1715
CSCO,0.1627
INTU,0.0151
NOW,-0.0129
INTC,0.1147
MU,0.3567
AMAT,0.2481
PANW,0.2291
PLTR,0.3492
SNOW,-0.1033
LLY,0.309
UNH,0.0292
JNJ,0.1005
ABBV,0.1674
MRK,0.1247
AMGN,0.1026
GILD,0.1769
REGN,0.0827
VRTX,0.1349
MDT,-0.0454
BMY,0.0334
PFE,-0.0034
SYK,0.0505
ISRG,0.1275
TMO,0.0122
ABT,-0.0336
ELV,0.036
CI,0.0581
ZTS,-0.0373
JPM,0.1674
BAC,0.0948
GS,0.2252
MS,0.1986
WFC,0.1725
V,0.089
MA,0.0676
BLK,0.1037
AXP,0.1631
C,0.1501
BRK-B,0.1216
SPGI,0.0552
MCO,0.0978
WMT,0.2311
HD,0.0727
MCD,0.0851
COST,0.2366
SBUX,0.0236
NKE,-0.1992
LOW,0.0942
TGT,-0.0285
KO,0.1155
PEP,0.0629
PG,0.0564
PM,0.1769
MDLZ,0.0454
XOM,0.2161
CVX,0.1493
COP,0.1802
SLB,0.1519
EOG,0.1702
PSX,0.1739
GE,0.2851
CAT,0.29
BA,0.0036
RTX,0.1851
HON,0.037
UNP,0.0684
DE,0.1107
ETN,0.2371
LMT,0.106
NOC,0.1394
DIS,-0.1145
T,0.0953
VZ,0.0329
CMCSA,-0.094
NFLX,0.1125
SPY,0.1366
QQQ,0.1581
IWM,0.0608
VTI,0.1254
VOO,0.1373
VEA,0.0994
EEM,0.0568
TLT,-0.0613
BND,0.0027
AGG,0.0027
HYG,0.0394
XLF,0.1019
XLE,0.1935
XLK,0.187
XLV,0.065
XLI,0.1353
VNQ,0.0578
SCHD,0.0961
VIG,0.1132
JEPI,0.0902
ARKK,-0.0785
GLD,0.1903
IAU,0.1918
SLV,0.2087
SPXL,0.2361
TQQQ,0.2303
SOXL,0.2748
