target_vol_annual,expected_return_annual,sharpe_ratio,AAPL,MSFT,NVDA,GOOGL,XOM
0.195677,0.155985,0.797153,0.187839,0.329161,0.0,0.083,0.4
0.200115,0.16629,0.830972,0.177056,0.4,0.022944,0.0,0.4
0.204553,0.173761,0.849467,0.149365,0.4,0.050635,0.0,0.4
0.208991,0.180424,0.863308,0.124671,0.4,0.075329,0.0,0.4
0.213429,0.186527,0.873953,0.102049,0.4,0.097951,0.0,0.4
0.217867,0.192217,0.882264,0.080961,0.4,0.119039,0.0,0.4
0.222305,0.197585,0.8888,0.061064,0.399999,0.138937,0.0,0.4
0.226743,0.202696,0.893946,0.042122,0.399996,0.157882,0.0,0.4
0.231182,0.207597,0.897981,0.025408,0.398379,0.176213,0.0,0.4
0.23562,0.212324,0.901129,0.013028,0.39802,0.19263,0.0,0.396321
0.240058,0.217059,0.903672,0.0,0.401606,0.207978,0.0,0.390416
0.244496,0.221398,0.90553,0.0,0.399112,0.221045,0.0,0.379843
0.248934,0.225769,0.906943,0.0,0.395603,0.234522,0.0,0.369876
0.253372,0.230042,0.907923,0.0,0.392198,0.247689,0.0,0.360113
0.25781,0.234228,0.908532,0.0,0.388868,0.260588,0.0,0.350543
0.262248,0.238337,0.908825,0.0,0.385558,0.273262,0.0,0.341181
0.266686,0.242377,0.908847,0.0,0.382338,0.285709,0.0,0.331954
0.271124,0.246352,0.908634,0.0,0.379159,0.297964,0.0,0.322877
0.275562,0.250271,0.90822,0.0,0.376047,0.310035,0.0,0.313918
0.28,0.254137,0.907631,0.0,0.372971,0.321947,0.0,0.305083
