ticker,iv_annualized,expiry_date,strike,data_source
AAPL,0.2504,2026-05-15,280.0,options_chain
MSFT,0.294,2026-05-15,415.0,options_chain
NVDA,0.3833,2026-05-15,197.5,options_chain
GOOGL,0.3068,2026-05-15,385.0,options_chain
AMZN,0.3031,2026-05-15,267.5,options_chain
META,0.3317,2026-05-15,610.0,options_chain
TSLA,0.4316,2026-05-15,390.0,options_chain
AVGO,0.463,2026-05-15,422.5,options_chain
AMD,0.7861,2026-05-15,360.0,options_chain
ORCL,0.5735,2026-05-15,172.5,options_chain
CRM,0.4735,2026-05-15,185.0,options_chain
ADBE,0.4585,2026-05-15,250.0,options_chain
QCOM,0.4713,2026-05-15,175.0,options_chain
TXN,0.3518,2026-05-15,280.0,options_chain
IBM,0.3115,2026-05-15,232.5,options_chain
CSCO,0.4805,2026-05-15,92.0,options_chain
INTU,0.5696,2026-05-15,400.0,options_chain
NOW,0.6157,2026-05-15,91.0,options_chain
INTC,0.8477,2026-05-15,100.0,options_chain
MU,0.7568,2026-05-15,540.0,options_chain
AMAT,0.7125,2026-05-15,390.0,options_chain
PANW,0.4928,2026-05-15,180.0,options_chain
PLTR,0.7605,2026-05-15,144.0,options_chain
SNOW,0.6669,2026-05-15,141.0,options_chain
LLY,0.3848,2026-05-15,965.0,options_chain
UNH,0.2911,2026-05-15,370.0,options_chain
JNJ,0.266,2026-05-15,227.5,options_chain
ABBV,0.32,2026-05-15,207.5,options_chain
MRK,0.3342,2026-05-15,112.0,options_chain
AMGN,0.2915,2026-05-15,330.0,options_chain
GILD,0.481,2026-05-15,132.0,options_chain
REGN,0.4262,2026-05-15,700.0,options_chain
VRTX,0.4932,2026-05-15,420.0,options_chain
MDT,0.2622,2026-05-15,80.0,options_chain
BMY,0.3125,2026-05-15,58.0,options_chain
PFE,0.2461,2026-05-15,26.5,options_chain
SYK,0.3164,2026-05-15,310.0,options_chain
ISRG,0.3471,2026-05-15,457.5,options_chain
TMO,0.3109,2026-05-15,470.0,options_chain
ABT,0.2993,2026-05-15,89.0,options_chain
ELV,0.3722,2026-05-15,370.0,options_chain
CI,0.31,2026-05-15,282.5,options_chain
ZTS,0.5635,2026-05-15,115.0,options_chain
JPM,0.2642,2026-05-15,312.5,options_chain
BAC,0.2715,2026-05-15,53.0,options_chain
GS,0.3526,2026-05-15,925.0,options_chain
MS,0.3225,2026-05-15,190.0,options_chain
WFC,0.2715,2026-05-15,81.0,options_chain
V,0.2282,2026-05-15,327.5,options_chain
MA,0.2835,2026-05-15,495.0,options_chain
BLK,0.3437,2026-05-15,1060.0,options_chain
AXP,0.3056,2026-05-15,320.0,options_chain
C,0.3682,2026-05-15,127.0,options_chain
BRK-B,0.2597,2026-05-15,472.5,options_chain
SPGI,0.3495,2026-05-15,430.0,options_chain
MCO,0.3157,2026-05-15,460.0,options_chain
